id	name	kind	terminal	description
G62	review_absent	intent	no	No approval and no proxy record on this head, or an approval of an earlier commit. The head moved past the consent.
G63	review_unreadable	composite	no	INDETERMINATE. The reviews endpoint did not answer, so the head is UNCONFIRMED and reviewDecision still stands, said out loud. Could not ask is not the head moved.
G65	authorized_on_head	composite	no	Guard 4 green: review, gates and every required observation taken ON THIS HEAD. A stack of named measurements, none able to stand in for another.
G66	not_authorized	composite	no	Guard 4 red, with the reason named: which instrument, which build, which of the three ways it failed.
G70	prod_deploy_in_flight	lifecycle	no	deploy:production. An action in flight, not a request and not a result.
G71	prod_healthy_on_head	observation	no	PASS. N samples per route, all reporting the expected build, one response carrying both facts. Recorded as production:healthy naming the SHA that was sampled.
G72	prod_unconverged	observation	no	More than one build served across the samples. Not unhealthy: the estate is mixed, which one sample cannot distinguish from converged.
G73	prod_unhealthy	observation	no	FAIL. Samples came back and did not carry the expected build.
G74	prod_unreachable_as_unhealthy	observation	no	DEFECT STATE. HTTP 000 - the estate was never observed - is counted as a bad sample and reported UNHEALTHY. Class 1 inside guard 5 itself.
G75	prod_healthy_label_without_record	observation	no	production:healthy stands with no record behind it. The #16 shape at the merge boundary: a label that cannot say which build converged.
G80	merge_not_yet	lifecycle	no	Guard 6 NOT YET. production:healthy is absent because nothing has been deployed. Red for most of a PR life, by design, and it says so rather than reading like a broken test.
G81	merge_refused_stale_measurement	lifecycle	no	Guard 6 FAIL. production:healthy is present and the observation behind it names a different build. A different red from NOT YET, deliberately.
G82	merge_refused_prod_other_build	lifecycle	no	Guard 6 refused because production serves something else. HYPOTHESIS, NOT CONTROL - 484 runs, never once triggered by a label.
G83	merge_exempt_proven	lifecycle	no	deploys(c) is PROVABLY empty: the diff was read and touches nothing deployable. Exempt, and the message names which oracle proved it.
G84	merge_exempt_unproven	lifecycle	no	DEFECT STATE. deploys(c) was indeterminate - groups.sh could not answer and the error was swallowed - and the guard treated the empty set as exempt. Absence of evidence granted as proof.
G85	merge_allowed	lifecycle	no	Guard 6 green. Production serves this head, so trunk may follow it. The merge is settlement, not authorization.
G86	deployed_unmerged_window_gone	composite	no	UNNAMED. Production serves a build trunk does not contain, and the reservation that authorized it has lapsed. Three facts at once and no word for it.
G90	complete	composite	yes	change:complete, then merged. About the change RECORD - nothing remains to observe. It does not expire, because it states what happened rather than what is true.
G91	failed	composite	yes	ITIL closure code failed. Production never served it, or served it and never made it live. Nothing to undo.
G92	backed_out	composite	yes	ITIL closure code backed-out. Production DID serve this and was returned to a prior state. The word asserts an estate action and must name what it returned to.
G93	closed_unmerged	composite	yes	Withdrawn. The change record closes with no deployment and no debt.
E01	estate_open	estate	no	ESTATE-GLOBAL. No freeze, no emergency in flight. Ordinary change may progress.
E02	estate_frozen	estate	no	ESTATE-GLOBAL. freeze on the estate holder issue. Blocks everyone including its declarer and grants nothing to whatever carries it.
E03	estate_emergency	estate	no	ESTATE-GLOBAL. emergency on the estate holder issue. Something is wrong out there and everything stops. Distinct from itil:emergency, which is a class.
E04	berth_free	estate	no	ESTATE-GLOBAL. No open PR carries deploy:staging. Guard 1 reads the label set, not the workflow concurrency group.
E05	berth_taken	estate	no	ESTATE-GLOBAL. Exactly one open PR carries deploy:staging, possibly with no run in flight.
