sha	date	cell	merge	kind	paths	subject	note	timeline	repro	required	protocol	issues	repro_cmd	repro_writes	note_cell	claim	runnable	repro_out	issue_state	opened	validation	verdict	evidence
eedf76a	2026-09-13	hydra	no	experiment	8	experiments/017: token metrics, and correct a 1.91x overcount	no	na	na	no	not-required	#6,#57	-	na	-	experiments/017: token metrics, and correct a 1.91x overcount	na	na	6:pr-merged,57:pr-merged	-	none	unverifiable	no corroborating evidence found
de9f25f	2026-09-13	hydra	no	change-script	1	fix(activate): read the current check run, and the declared staging front	no	na	na	yes	missing-note	#61,#62	-	na	-	fix(activate): read the current check run, and the declared staging front	na	na	61:pr-merged,62:pr-merged	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
d98796e	2026-09-13	hydra	no	change-script	1	fix(activate): deploy the apps, not the stand-in; front from the declaration	no	na	na	yes	missing-note	#54,#62	-	na	-	fix(activate): deploy the apps, not the stand-in; front from the declaration	na	na	54:pr-merged,62:pr-merged	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
37b39fb	2026-09-13	hydra	no	apps	1	feat(pdp): offer search as a way out of a not-found product (#63)	no	na	na	no	not-required	#63	-	na	-	feat(pdp): offer search as a way out of a not-found product (#63)	na	na	63:pr-merged	-	none	unverifiable	no corroborating evidence found
c43bf36	2026-09-13	hydra	no	change-script	1	fix(soak): zero probes is not a pass	no	na	na	yes	missing-note	#63	-	na	-	fix(soak): zero probes is not a pass	na	na	63:pr-merged	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
d4be349	2026-09-13	hydra	no	apps	1	fix(pdp): say so when a product carries no availability at all (#64)	no	na	na	no	not-required	#64	-	na	-	fix(pdp): say so when a product carries no availability at all (#64)	na	na	64:pr-merged	-	none	unverifiable	no corroborating evidence found
16aa82a	2026-09-13	hydra	no	spec	2	spec: defect class 8 -- not yet is not no, and cannot say is not either	no	na	na	yes	missing-note	#63	-	na	-	spec: defect class 8 -- not yet is not no, and cannot	na	na	63:pr-merged	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
ac8a5d3	2026-09-13	hydra	no	chore	2	fix(forge): the batch emacs targets could not fail	yes	yes	yes	no	not-required	-	gmake forge-pull # 4.0s, "forge: pulled", exit 0 ; emacs --batch -l standard-change.el \ ; emacs --batch -l standard-change.el --eval '(setq auth-sources nil)' \ ; emacs --batch -l standard-change.el -f standard-change-status	no	-	fix(forge): the batch emacs targets could not fail	yes	na	-	-	gate	unverifiable	no corroborating evidence found
bd84e50	2026-09-13	hydra	no	apps	1	fix(pdp): say 'right now' in the heading when the catalogue is unavailable (#66)	no	na	na	no	not-required	#66	-	na	-	fix(pdp): say 'right now' in the heading when the catalogue is unavailable	na	na	66:pr-merged	-	none	unverifiable	no corroborating evidence found
3cc2740	2026-09-13	hydra	no	spec	1	spec: exposure, the LAN boundary, and the freeze with no declarer	no	na	na	yes	missing-note	-	-	na	-	spec: exposure, the LAN boundary, and the freeze with no declarer	na	na	-	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
a46160a	2026-09-13	hydra	no	experiment	1	experiments/019: the held-out defect set for the 001 rebuild	no	na	na	no	not-required	-	-	na	-	experiments/019: the held-out defect set for the 001 rebuild	na	na	-	-	none	unverifiable	no corroborating evidence found
e67fa69	2026-09-14	hydra	no	apps	1	fix(checkout): label the line1 field 'Address line 1' (#67)	no	na	na	no	not-required	#67	-	na	-	fix(checkout): label the line1 field 'Address line 1' (#67)	na	na	67:pr-merged	-	none	unverifiable	no corroborating evidence found
faf7c6e	2026-09-14	hydra	no	spec	1	spec: guard 6 (production-first) gets a predicate, and three values	no	na	na	yes	missing-note	-	-	na	-	spec: guard 6 (production-first) gets a predicate, and three values	na	na	-	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
5bd5f52	2026-09-14	hydra	no	apps	1	fix(dashboard): harden the estate writes, and record who asked	no	na	na	no	not-required	#1	-	na	-	fix(dashboard): harden the estate writes, and record who asked	na	na	1:issue-open	-	none	unverifiable	no corroborating evidence found
b392a03	2026-09-14	hydra	no	model	6	sync README, simulator and TLA+ with the grind	no	na	na	no	not-required	-	-	na	-	sync README, simulator and TLA+ with the grind	na	na	-	-	none	unverifiable	no corroborating evidence found
4c8cd42	2026-09-14	hydra	no	apps	1	fix(checkout): label the postcode field 'Postcode / ZIP' (#68)	no	na	na	no	not-required	#68	-	na	-	fix(checkout): label the postcode field 'Postcode / ZIP' (#68)	na	na	68:pr-merged	-	none	unverifiable	no corroborating evidence found
ca06945	2026-09-14	hydra	no	spec	2	scenarios D17 + spec: two guards have never refused anything	no	na	na	yes	missing-note	-	-	na	-	scenarios D17 + spec: two guards have never refused anything	na	na	-	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
f7533db	2026-09-14	hydra	no	apps	1	fix(checkout): stop the shipping inputs overflowing a narrow screen (#69)	no	na	na	no	not-required	#69	-	na	-	fix(checkout): stop the shipping inputs overflowing a narrow screen (#69)	na	na	69:pr-merged	-	none	unverifiable	no corroborating evidence found
41fb706	2026-09-14	hydra	no	docs	4	feat(adopt): a profile, a generator and a conformance ladder for taking these controls elsewhere	no	na	na	no	not-required	-	-	na	-	feat(adopt): a profile, a generator and a conformance ladder for taking these	na	na	-	-	none	unverifiable	no corroborating evidence found
f3fe16d	2026-09-14	hydra	no	change-script	2	feat(marker): deployment marker, after the release-complete notice	no	na	na	yes	missing-note	#63,#64,#66,#67,#68,#69	-	na	-	feat(marker): deployment marker, after the release-complete notice	na	na	63:pr-merged,64:pr-merged,66:pr-merged,67:pr-merged,68:pr-merged,69:pr-merged	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
3ab098c	2026-09-14	mini	no	docs	1	docs: research notes for the next ADR -- a timeline of pipeline semantics	no	na	na	no	not-required	-	-	na	-	docs: research notes for the next ADR -- a timeline of pipeline	na	na	-	-	none	unverifiable	no corroborating evidence found
5e3f838	2026-09-14	mini	no	docs	1	docs(pipeline-history): auto-merge as the final gate, and a merge queue with released semantics	no	na	na	no	not-required	-	-	na	-	docs(pipeline-history): auto-merge as the final gate, and a merge queue with released	na	na	-	-	none	unverifiable	no corroborating evidence found
b95608f	2026-09-14	mini	no	docs	1	docs: five properties, three substrates -- overview and references	no	na	na	no	not-required	-	-	na	-	docs: five properties, three substrates -- overview and references	na	na	-	-	none	unverifiable	no corroborating evidence found
ec78444	2026-09-14	mini	no	docs	1	docs(pipeline-history): citation audit of references, branching policies and trains	no	na	na	no	not-required	-	-	na	-	docs(pipeline-history): citation audit of references, branching policies and trains	na	na	-	-	none	unverifiable	no corroborating evidence found
d8769f5	2026-09-14	mini	no	docs	1	docs(five-properties): citation audit of the standards and references	no	na	na	no	not-required	-	-	na	-	docs(five-properties): citation audit of the standards and references	na	na	-	-	none	unverifiable	no corroborating evidence found
be20856	2026-09-14	mini	no	docs	1	docs(pipeline-history): citation audit of the timeline	no	na	na	no	not-required	-	-	na	-	docs(pipeline-history): citation audit of the timeline	na	na	-	-	none	unverifiable	no corroborating evidence found
fb4cde5	2026-09-14	mini	no	docs	2	docs: substrate emulation on macOS, and the second agent's reference survey	no	na	na	no	not-required	-	-	na	-	docs: substrate emulation on macOS, and the second agent's reference survey	na	na	-	-	none	unverifiable	no corroborating evidence found
9992472	2026-09-14	mini	no	chore	1	fix(forge-check): probe the API instead of trusting that a token exists	no	na	na	no	not-required	-	-	na	-	fix(forge-check): probe the API instead of trusting that a token exists	na	na	-	-	none	no-claim	chore with no issue reference or note
45c1163	2026-09-14	mini	no	spec	1	spec: macOS cell observed; main can now be protected	no	na	na	yes	missing-note	-	-	na	-	spec: macOS cell observed; main can now be protected	na	na	-	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
4c7c6f7	2026-09-14	mini	no	docs	1	docs(readme): one vocabulary for the lifecycle, the calendar and the environments	no	na	na	no	not-required	-	-	na	-	docs(readme): one vocabulary for the lifecycle, the calendar and the environments	na	na	-	-	none	unverifiable	no corroborating evidence found
e9987b1	2026-09-14	mini	no	docs	2	docs(screenshots): the forge PR list from Emacs	no	na	na	no	not-required	-	-	na	-	docs(screenshots): the forge PR list from Emacs	na	na	-	-	none	unverifiable	no corroborating evidence found
8b6270f	2026-09-14	mini	no	model	6	feat(model): the label namespace as a state machine, in TLA+ and Python, cross-checked	yes	yes	yes	no	not-required	#87,#88,#89	./tla/check.sh ; python3 sim/label_sim.py --bound 30 ; python3 sim/cross_check.py	no	macOS Darwin 24.1.0, OpenJDK 21.0.4, Python 3.11.10, Hypothe	feat(model): the label namespace as a state machine, in TLA+ and Python,	no-slow	na	87:issue-closed,88:issue-open,89:issue-open	-	sim,tlc	confirmed-by-note-only	note complete, runnable=no-slow
dff0887	2026-09-14	mini	no	model	6	feat(model): the reaper, the merge and the cleanup, modelled; eleven rules, cross-checked	yes	yes	yes	no	not-required	#87,#90	./tla/check.sh ; python3 sim/label_sim.py --bound 40 --walks 0 ; LABEL_BOUND=40 python3 sim/cross_check.py ; gmake gate-selftest	no	macOS Darwin 24.1.0, OpenJDK 21.0.4, Python 3.11.10, Hypothe	feat(model): the reaper, the merge and the cleanup, modelled; eleven rules, cross-checked	no-slow	na	87:issue-closed,90:issue-open	-	sim,tlc	confirmed-by-note-only	note complete, runnable=no-slow
81af5ce	2026-09-14	mini	no	experiment	2	experiments/020: browser UAT on block 0 refutes smoke-as-acceptance	no	na	na	no	not-required	#91	-	na	-	experiments/020: browser UAT on block 0 refutes smoke-as-acceptance	na	na	91:issue-open	-	none	unverifiable	no corroborating evidence found
c0b188c	2026-09-14	mini	no	experiment	1	experiments/020: the storefront rows are enhancement opportunities, not failures	no	na	na	no	not-required	#91	-	na	-	experiments/020: the storefront rows are enhancement opportunities, not failures	na	na	91:issue-open	-	none	unverifiable	no corroborating evidence found
af62b71	2026-09-14	mini	no	gate	11	feat(gates): uat -- the browser journey as accepted, in headless Chromium	yes	yes	yes	yes	ok	#71	gmake dev; gmake uat url=http://127.0.0.1:9000	yes	macOS Darwin 24.1.0, Node v26.2.0, @playwright/test 1.63.0, 	feat(gates): uat -- the browser journey as accepted, in headless Chromium	no-writes	na	71:pr-open	-	gate	confirmed-by-note-only	note complete, runnable=no-writes
a841ffe	2026-09-14	mini	no	docs	1	docs(targets): two Cloudflare shapes for staging and production, priced	no	na	na	no	not-required	-	-	na	-	docs(targets): two Cloudflare shapes for staging and production, priced	na	na	-	-	none	unverifiable	no corroborating evidence found
2d0a78c	2026-09-14	mini	no	docs	1	docs: hosting survey -- the most trivial staging and production for the estate	no	na	na	no	not-required	-	-	na	-	docs: hosting survey -- the most trivial staging and production for the	na	na	-	-	none	unverifiable	no corroborating evidence found
77a8a92	2026-09-14	mini	no	docs	1	docs(readme): app:* and itil:* are guidance, not permission	no	na	na	no	not-required	-	-	na	-	docs(readme): app:* and itil:* are guidance, not permission	na	na	-	-	none	unverifiable	no corroborating evidence found
4948220	2026-09-14	mini	no	model	7	feat(model): an emergency closes the estate -- entry blocked, holder evicted	yes	yes	yes	no	not-required	-	./tla/check.sh ; python3 sim/label_sim.py --bound 40 --walks 0 ; python3 sim/label_sim.py --disable EmergencyPreempts --bound 40 --walks 0 ; LABEL_BOUND=40 python3 sim/cross_check.py	no	macOS Darwin 24.1.0, OpenJDK 21.0.4, Python 3.11.10	feat(model): an emergency closes the estate -- entry blocked, holder evicted	no-slow	na	-	-	sim,tlc	confirmed-by-note-only	note complete, runnable=no-slow
a9d5db5	2026-09-14	mini	no	docs	9	feat(idp): the contract as OpenAPI, an in-memory mock, and four interfaces	no	na	na	no	not-required	-	-	na	-	feat(idp): the contract as OpenAPI, an in-memory mock, and four interfaces	na	na	-	-	none	unverifiable	no corroborating evidence found
4f73b5b	2026-09-14	mini	no	change-script	3	fix(change): lock.sh exists; deploy-staging can write the refusal it computes	yes	yes	yes	yes	ok	#1,#89,#92,#94,#100,#101	./change/lock.sh acquire 92 staging; GITHUB_RUN_ID=test ./change/lock.sh acquire 94 staging ; ./change/lock.sh release ; gh run view 34897883064 --log | grep 'queue.sh claim'	yes	macOS Darwin 24.1.0; workflows on ubuntu-latest	fix(change): lock.sh exists; deploy-staging can write the refusal it computes	no-writes	na	1:issue-open,89:issue-open,92:pr-merged,94:pr-merged,100:pr-merged,101:pr-merged	-	none	confirmed-by-note-only	note complete, runnable=no-writes
896f3fc	2026-09-14	mini	no	chore	1	feat(promote): staging:smoke lands deploy:production	no	na	na	no	not-required	-	-	na	-	feat(promote): staging:smoke lands deploy:production	na	na	-	-	none	no-claim	chore with no issue reference or note
c9aa934	2026-09-14	mini	no	chore	1	fix(promote): latest run per gate, and wait for one still running	no	na	na	no	not-required	#93	-	na	-	fix(promote): latest run per gate, and wait for one still running	na	na	93:pr-merged	-	none	unverifiable	no corroborating evidence found
7473431	2026-09-14	hydra	no	change-script	1	fix(abort): clear deploy:production and change:complete too	no	na	na	yes	missing-note	#92	-	na	-	fix(abort): clear deploy:production and change:complete too	na	na	92:pr-merged	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
6641337	2026-09-14	hydra	no	model	2	sim/grind100: 100 PRs, two release policies, four degraded-infra cases	no	na	na	no	not-required	-	-	na	-	sim/grind100: 100 PRs, two release policies, four degraded-infra cases	na	na	-	-	none	unverifiable	no corroborating evidence found
988a65e	2026-09-14	hydra	no	experiment	5	experiments/021: the PR as a state machine, through gating and evidence	no	na	na	no	not-required	-	-	na	-	experiments/021: the PR as a state machine, through gating and evidence	na	na	-	-	none	unverifiable	no corroborating evidence found
1dedad9	2026-09-14	hydra	no	experiment	5	docs(021): model the PR deployment lifecycle as a state machine	no	na	na	no	not-required	-	-	na	-	docs(021): model the PR deployment lifecycle as a state machine	na	na	-	-	none	unverifiable	no corroborating evidence found
eff29c2	2026-09-14	hydra	no	experiment	8	experiments(021): protection, precedence and overrides state machine	no	na	na	no	not-required	#1	-	na	-	experiments(021): protection, precedence and overrides state machine	na	na	1:issue-open	-	none	unverifiable	no corroborating evidence found
1b7c8ed	2026-09-14	hydra	no	chore	0	experiments/021: record authorship of the environments/estate state machine	no	na	na	no	not-required	#92	-	na	-	experiments/021: record authorship of the environments/estate state machine	na	na	92:pr-merged	-	none	unverifiable	no corroborating evidence found
05f0c6a	2026-09-14	hydra	no	model	2	sim/grind100: reliability -- 80% deploy success, 1% unhealthy production	no	na	na	no	not-required	-	-	na	-	sim/grind100: reliability -- 80% deploy success, 1% unhealthy production	na	na	-	-	none	unverifiable	no corroborating evidence found
7fdd063	2026-09-14	hydra	no	experiment	6	docs(021): the bar for a state machine, and nine confirmed artefact disagreements	no	na	na	no	not-required	-	-	na	-	docs(021): the bar for a state machine, and nine confirmed artefact disagreements	na	na	-	-	none	unverifiable	no corroborating evidence found
7684702	2026-09-14	hydra	no	chore	0	experiments/021: record authorship of the end-to-end PR state machine	no	na	na	no	not-required	#92	-	na	-	experiments/021: record authorship of the end-to-end PR state machine	na	na	92:pr-merged	-	none	unverifiable	no corroborating evidence found
29a9cc1	2026-09-14	hydra	no	change-script	1	fix(activate): three live D16 sites, including a guard that could not refuse	no	na	na	yes	missing-note	-	-	na	-	fix(activate): three live D16 sites, including a guard that could not refuse	na	na	-	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
234a745	2026-09-14	hydra	no	spec	4	spec: the label grammar -- intent drives, everything else annotates	no	na	na	yes	missing-note	#92	-	na	-	spec: the label grammar -- intent drives, everything else annotates	na	na	92:pr-merged	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
e06ca88	2026-09-14	hydra	no	spec	1	spec: delete change:emergency, state itil:emergency once, no change:start	no	na	na	yes	missing-note	-	-	na	-	spec: delete change:emergency, state itil:emergency once, no change:start	na	na	-	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
6458e1b	2026-09-14	hydra	no	spec	2	spec+D20: change:start is the human intent; the berth label is never written	no	na	na	yes	missing-note	#63,#64,#66,#67,#68,#69,#92	-	na	-	spec+D20: change:start is the human intent; the berth label is never written	na	na	63:pr-merged,64:pr-merged,66:pr-merged,67:pr-merged,68:pr-merged,69:pr-merged,92:pr-merged	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
836256a	2026-09-14	hydra	no	experiment	2	experiments/021: expand the label vocabulary to 23 candidates, then pare	no	na	na	no	not-required	-	-	na	-	experiments/021: expand the label vocabulary to 23 candidates, then pare	na	na	-	-	none	unverifiable	no corroborating evidence found
3af2060	2026-09-14	hydra	no	docs	1	docs: survey external label vocabularies for staging/production deployment	no	na	na	no	not-required	#34	-	na	-	docs: survey external label vocabularies for staging/production deployment	na	na	34:issue-closed	-	none	unverifiable	no corroborating evidence found
a3781c5	2026-09-14	hydra	no	docs	1	docs: correct two counts in the label survey	no	na	na	no	not-required	-	-	na	-	docs: correct two counts in the label survey	na	na	-	-	none	unverifiable	no corroborating evidence found
c6acc82	2026-09-14	hydra	no	docs	2	ci: stop re-gating on labels, and add the dual-shape contract gate	no	na	na	no	not-required	#57,#69	-	na	-	ci: stop re-gating on labels, and add the dual-shape contract gate	na	na	57:pr-merged,69:pr-merged	-	none	unverifiable	no corroborating evidence found
9653d49	2026-09-14	hydra	no	docs	1	docs: withdraw two claims in the label survey, add four verified sections	no	na	na	no	not-required	-	-	na	-	docs: withdraw two claims in the label survey, add four verified sections	na	na	-	-	none	unverifiable	no corroborating evidence found
beae33a	2026-09-14	hydra	no	change-script	2	labels: add change:start and berth:stale, the two the paring kept	no	na	na	yes	missing-note	#92	-	na	-	labels: add change:start and berth:stale, the two the paring kept	na	na	92:pr-merged	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
5e3a491	2026-09-14	hydra	no	change-script	1	feat(uat): CHANGE_WINDOW_ADVISORY, and the calendar is enforced in two places	no	na	na	yes	missing-note	-	-	na	-	feat(uat): CHANGE_WINDOW_ADVISORY, and the calendar is enforced in two places	na	na	-	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
ca0861e	2026-09-14	hydra	no	spec	1	spec: the labels are print statements, and that is the whole problem	no	na	na	yes	missing-note	-	-	na	-	spec: the labels are print statements, and that is the whole problem	na	na	-	-	none	unverifiable	protocol defect: kind=spec requires a note, none present
df94f37	2026-09-14	mini	no	change-script	12	feat(model): staging:hold as intent, <env>:deployed then <env>:healthy as the trigger; fourteen rules	yes	yes	yes	yes	ok	-	python3 tla/frames.py --check ; ./tla/check.sh ; python3 sim/label_sim.py --bound 12 --census ; LABEL_BOUND=12 python3 sim/cross_check.py	no	macOS Darwin 24.1.0, OpenJDK 21.0.4, Python 3.11.10, 16 GB	feat(model): staging:hold as intent, <env>:deployed then <env>:healthy as the trigger; fourteen rules	no-slow	na	-	-	sim,tlc	confirmed-by-note-only	note complete, runnable=no-slow
49a5550	2026-09-14	mini	no	change-script	10	feat(lock): deploy:staging is the lock; a refusal resets the change; complete then end	no	na	na	yes	missing-note	-	-	na	-	feat(lock): deploy:staging is the lock; a refusal resets the change; complete then	na	na	-	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
4752fa1	2026-09-14	mini	no	chore	1	fix(deploy-staging): write no verdict label; a refusal at preflight is not a failed measurement	no	na	na	no	not-required	-	-	na	-	fix(deploy-staging): write no verdict label; a refusal at preflight is not a	na	na	-	-	none	no-claim	chore with no issue reference or note
1226d9d	2026-09-14	mini	no	change-script	2	fix(abort): a failed release ends and cleans up like a settled one	no	na	na	yes	missing-note	-	-	na	-	fix(abort): a failed release ends and cleans up like a settled one	na	na	-	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
4e67e27	2026-09-14	hydra	no	change-script	2	labels: declare the five that existed on the forge and nowhere else	no	na	na	yes	missing-note	#92	-	na	-	labels: declare the five that existed on the forge and nowhere else	na	na	92:pr-merged	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
171cb87	2026-09-14	mini	no	apps	1	feat(pdp): a perkier pre-order line (#95)	no	na	na	no	not-required	#95	-	na	-	feat(pdp): a perkier pre-order line (#95)	na	na	95:pr-merged	-	none	unverifiable	no corroborating evidence found
6a82124	2026-09-14	mini	no	change-script	1	fix(settle): the instruments' evidence is the record, not the label	no	na	na	yes	missing-note	#92	-	na	-	fix(settle): the instruments' evidence is the record, not the label	na	na	92:pr-merged	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
a5a2d64	2026-09-14	mini	no	change-script	1	fix(lock): in CI, release only the lock this run acquired	no	na	na	yes	missing-note	#95	-	na	-	fix(lock): in CI, release only the lock this run acquired	na	na	95:pr-merged	-	none	unverifiable	protocol defect: kind=change-script requires a note, none present
cf9f6f7	2026-09-14	mini	no	apps	1	feat(core): a brighter sky-blue page background (#93)	no	na	na	no	not-required	#93	-	na	-	feat(core): a brighter sky-blue page background (#93)	na	na	93:pr-merged	-	none	unverifiable	no corroborating evidence found
e1e82fc	2026-09-14	mini	no	apps	1	feat(plp): a brighter mint for the listing page (#96)	no	na	na	no	not-required	#96	-	na	-	feat(plp): a brighter mint for the listing page (#96)	na	na	96:pr-merged	-	none	unverifiable	no corroborating evidence found
c6b139e	2026-09-14	mini	no	apps	1	feat(core): a perkier account panel (#92)	no	na	na	no	not-required	#92	-	na	-	feat(core): a perkier account panel (#92)	na	na	92:pr-merged	-	none	unverifiable	no corroborating evidence found
a8fd06f	2026-09-14	mini	no	experiment	2	experiments/022: five agents, one lock -- what the PR list could and could not tell	no	na	na	no	not-required	-	-	na	-	experiments/022: five agents, one lock -- what the PR list could and	na	na	-	-	none	unverifiable	no corroborating evidence found
80e85dc	2026-09-14	mini	no	apps	1	feat(pdp): a sunnier product-page background (#94)	no	na	na	no	not-required	#94	-	na	-	feat(pdp): a sunnier product-page background (#94)	na	na	94:pr-merged	-	none	unverifiable	no corroborating evidence found
ae88308	2026-09-14	mini	no	experiment	1	experiments/022: #94 landed -- five of five	no	na	na	no	not-required	#94	-	na	-	experiments/022: #94 landed -- five of five	na	na	94:pr-merged	-	none	unverifiable	no corroborating evidence found
b96cb12	2026-09-14	hydra	no	docs	1	scenarios D21: three identities, one lock, and neither operator could tell	no	na	na	no	not-required	#92,#94,#96,#97,#99,#101	-	na	-	scenarios D21: three identities, one lock, and neither operator could tell	na	na	92:pr-merged,94:pr-merged,96:pr-merged,97:pr-merged,99:pr-merged,101:pr-merged	-	none	unverifiable	no corroborating evidence found
3fcd84d	2026-09-14	mini	no	change-script	3	feat(change): driver.sh and scheduler.sh -- a person says change:start, the process takes over	yes	yes	yes	yes	ok	#97,#101	./change/driver.sh 101 ; ./change/scheduler.sh --once	yes	macOS 24.1.0, gh 2.x as jwalsh, blocks :9010/:9020 serving 5	feat(change): driver.sh and scheduler.sh -- a person says change:start, the process takes	no-writes	na	97:pr-merged,101:pr-merged	101	none	confirmed-by-note-only	note complete, runnable=no-writes
28680ef	2026-09-14	mini	no	chore	1	feat(mock): a brighter lavender page background (#101)	no	na	na	no	not-required	#101	-	na	-	feat(mock): a brighter lavender page background (#101)	na	na	101:pr-merged	-	none	unverifiable	no corroborating evidence found
11508f6	2026-09-14	mini	no	apps	1	feat(plp): a perkier no-results line (#99)	no	na	na	no	not-required	#99	-	na	-	feat(plp): a perkier no-results line (#99)	na	na	99:pr-merged	-	none	unverifiable	no corroborating evidence found
503bbe9	2026-09-14	mini	no	apps	1	feat(checkout): a sparkle on the Continue button (#98)	no	na	na	no	not-required	#98	-	na	-	feat(checkout): a sparkle on the Continue button (#98)	na	na	98:pr-merged	-	none	unverifiable	no corroborating evidence found
427f7c0	2026-09-14	mini	no	apps	1	feat(core): a warm butter highlight for inline code (#104)	no	na	na	no	not-required	#104	-	na	-	feat(core): a warm butter highlight for inline code (#104)	na	na	104:pr-merged	-	none	unverifiable	no corroborating evidence found
1dc0407	2026-09-14	mini	no	apps	1	feat(shared): a brighter green on the .b badge (#100)	no	na	na	no	not-required	#100	-	na	-	feat(shared): a brighter green on the .b badge (#100)	na	na	100:pr-merged	-	none	unverifiable	no corroborating evidence found
ec1bfbf	2026-09-14	mini	no	apps	1	feat(plp): a magnifying glass on the search prompt (#105)	no	na	na	no	not-required	#105	-	na	-	feat(plp): a magnifying glass on the search prompt (#105)	na	na	105:pr-merged	-	none	unverifiable	no corroborating evidence found
