# ledger.tsv -- one row per mainline commit, written by
# experiments/026-mainline-review/extract.py and completed by the driver agent.
#
# Columns 1-16 are mechanical. The extractor fills them and the driver agent
# never edits them. Columns 17-24 are judgement. The extractor writes `?` and
# the driver agent replaces every `?` with a value from the vocabulary below.
#
#  1 sha           short sha of the commit on main
#  2 date          author date, YYYY-MM-DD
#  3 cell          mini | hydra | unknown        which operator produced it
#  4 merge         yes | no                      more than one parent
#  5 kind          spec | gate | change-script | model | experiment | research
#                  | docs | apps | chore         first matching path rule
#  6 paths         count of files touched
#  7 subject       commit subject, tabs and newlines flattened to spaces
#  8 note          yes | no                      a git note exists
#  9 timeline      yes | no | na                 note has a Timeline section
# 10 repro         yes | no | na                 note has a Reproduction section
# 11 required      yes | no                      protocol required a note
# 12 protocol      ok | missing-note | note-incomplete | not-required
# 13 issues        comma-joined #N from subject, body and note, or -
# 14 repro_cmd     ` ; `-joined command lines lifted from the note, or -
# 15 repro_writes  yes | no | na                 a repro command writes state
# 16 note_cell      the note's own `Cell:` line, or -   where it was observed
#
# 17 claim         one short clause, what the commit asserts is now true
# 18 runnable      yes | no-moved | no-writes | no-slow | no-host | no-forge | na
# 19 repro_out     same | differs | na           re-run output against the note
# 20 issue_state   per-reference, comma-joined, or -. A `#N` in this repo is
#                  an issue or a pull request, so the vocabulary covers both:
#                  N:issue-open | N:issue-closed | N:pr-open | N:pr-merged
#                  | N:pr-closed | N:unknown
# 21 opened        #N the note says it opened, comma-joined, or -
# 22 validation    driver | grind | experiment | tlc | sim | gate | none
#                  comma-joined when more than one touched it
# 23 verdict       confirmed | confirmed-by-note-only | unverifiable
#                  | contradicted | no-claim
# 24 evidence      one line, the observation the verdict rests on
sha	date	cell	merge	kind	paths	subject	note	timeline	repro	required	protocol	issues	repro_cmd	repro_writes	note_cell	claim	runnable	repro_out	issue_state	opened	validation	verdict	evidence
3f08640	2026-09-13	hydra	no	docs	2	docs: where a person must act, and the build by the numbers	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
3e18849	2026-09-13	hydra	no	experiment	1	docs(experiments): the five-slot post-implementation review	no	na	na	no	not-required	#21	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
944c541	2026-09-13	hydra	no	experiment	9	feat(experiments): 016 -- DORA metrics for the 2026-09-13/14 release night	no	na	na	no	not-required	#40,#54	-	na	-	?	?	?	?	?	?	confirmed	survival present 2/3
eedf76a	2026-09-13	hydra	no	experiment	8	experiments/017: token metrics, and correct a 1.91x overcount	no	na	na	no	not-required	#6,#57	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
de9f25f	2026-09-13	hydra	no	change-script	1	fix(activate): read the current check run, and the declared staging front	no	na	na	yes	missing-note	#61,#62	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
d98796e	2026-09-13	hydra	no	change-script	1	fix(activate): deploy the apps, not the stand-in; front from the declaration	no	na	na	yes	missing-note	#54,#62	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
37b39fb	2026-09-13	hydra	no	apps	1	feat(pdp): offer search as a way out of a not-found product (#63)	no	na	na	no	not-required	#63	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
c43bf36	2026-09-13	hydra	no	change-script	1	fix(soak): zero probes is not a pass	no	na	na	yes	missing-note	#63	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
d4be349	2026-09-13	hydra	no	apps	1	fix(pdp): say so when a product carries no availability at all (#64)	no	na	na	no	not-required	#64	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
16aa82a	2026-09-13	hydra	no	spec	2	spec: defect class 8 -- not yet is not no, and cannot say is not either	no	na	na	yes	missing-note	#63	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
ac8a5d3	2026-09-13	hydra	no	chore	2	fix(forge): the batch emacs targets could not fail	yes	yes	yes	no	not-required	-	gmake forge-pull # 4.0s, "forge: pulled", exit 0 ; emacs --batch -l standard-change.el \ ; emacs --batch -l standard-change.el --eval '(setq auth-sources nil)' \ ; emacs --batch -l standard-change.el -f standard-change-status	no	-	?	?	?	?	?	?	confirmed-by-note-only	note complete; reproduction not re-run by the extractor (rule 6 needs a run)
bd84e50	2026-09-13	hydra	no	apps	1	fix(pdp): say 'right now' in the heading when the catalogue is unavailable (#66)	no	na	na	no	not-required	#66	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
3cc2740	2026-09-13	hydra	no	spec	1	spec: exposure, the LAN boundary, and the freeze with no declarer	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
a46160a	2026-09-13	hydra	no	experiment	1	experiments/019: the held-out defect set for the 001 rebuild	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
e67fa69	2026-09-14	hydra	no	apps	1	fix(checkout): label the line1 field 'Address line 1' (#67)	no	na	na	no	not-required	#67	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
faf7c6e	2026-09-14	hydra	no	spec	1	spec: guard 6 (production-first) gets a predicate, and three values	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
5bd5f52	2026-09-14	hydra	no	apps	1	fix(dashboard): harden the estate writes, and record who asked	no	na	na	no	not-required	#1	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
b392a03	2026-09-14	hydra	no	model	6	sync README, simulator and TLA+ with the grind	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
4c8cd42	2026-09-14	hydra	no	apps	1	fix(checkout): label the postcode field 'Postcode / ZIP' (#68)	no	na	na	no	not-required	#68	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
ca06945	2026-09-14	hydra	no	spec	2	scenarios D17 + spec: two guards have never refused anything	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
f7533db	2026-09-14	hydra	no	apps	1	fix(checkout): stop the shipping inputs overflowing a narrow screen (#69)	no	na	na	no	not-required	#69	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
41fb706	2026-09-14	hydra	no	docs	4	feat(adopt): a profile, a generator and a conformance ladder for taking these controls elsewhere	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 72592ad
f3fe16d	2026-09-14	hydra	no	change-script	2	feat(marker): deployment marker, after the release-complete notice	no	na	na	yes	missing-note	#63,#64,#66,#67,#68,#69	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
3ab098c	2026-09-14	mini	no	docs	1	docs: research notes for the next ADR -- a timeline of pipeline semantics	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
5e3f838	2026-09-14	mini	no	docs	1	docs(pipeline-history): auto-merge as the final gate, and a merge queue with released semantics	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
b95608f	2026-09-14	mini	no	docs	1	docs: five properties, three substrates -- overview and references	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
ec78444	2026-09-14	mini	no	docs	1	docs(pipeline-history): citation audit of references, branching policies and trains	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
d8769f5	2026-09-14	mini	no	docs	1	docs(five-properties): citation audit of the standards and references	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
be20856	2026-09-14	mini	no	docs	1	docs(pipeline-history): citation audit of the timeline	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
fb4cde5	2026-09-14	mini	no	docs	2	docs: substrate emulation on macOS, and the second agent's reference survey	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
9992472	2026-09-14	mini	no	chore	1	fix(forge-check): probe the API instead of trusting that a token exists	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	no-claim	chore with no issue and no note
45c1163	2026-09-14	mini	no	spec	1	spec: macOS cell observed; main can now be protected	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
4c7c6f7	2026-09-14	mini	no	docs	1	docs(readme): one vocabulary for the lifecycle, the calendar and the environments	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 1/3, superseded by 9514db7
e9987b1	2026-09-14	mini	no	docs	2	docs(screenshots): the forge PR list from Emacs	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
8b6270f	2026-09-14	mini	no	model	6	feat(model): the label namespace as a state machine, in TLA+ and Python, cross-checked	yes	yes	yes	no	not-required	#87,#88,#89	./tla/check.sh ; python3 sim/label_sim.py --bound 30 ; python3 sim/cross_check.py	no	macOS Darwin 24.1.0, OpenJDK 21.0.4, Python 3.11.10, Hypothe	?	?	?	?	?	?	confirmed-by-note-only	note complete; reproduction not re-run by the extractor (rule 6 needs a run)
dff0887	2026-09-14	mini	no	model	6	feat(model): the reaper, the merge and the cleanup, modelled; eleven rules, cross-checked	yes	yes	yes	no	not-required	#87,#90	./tla/check.sh ; python3 sim/label_sim.py --bound 40 --walks 0 ; LABEL_BOUND=40 python3 sim/cross_check.py ; gmake gate-selftest	no	macOS Darwin 24.1.0, OpenJDK 21.0.4, Python 3.11.10, Hypothe	?	?	?	?	?	?	confirmed-by-note-only	note complete; reproduction not re-run by the extractor (rule 6 needs a run)
81af5ce	2026-09-14	mini	no	experiment	2	experiments/020: browser UAT on block 0 refutes smoke-as-acceptance	no	na	na	no	not-required	#91	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
c0b188c	2026-09-14	mini	no	experiment	1	experiments/020: the storefront rows are enhancement opportunities, not failures	no	na	na	no	not-required	#91	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
af62b71	2026-09-14	mini	no	gate	11	feat(gates): uat -- the browser journey as accepted, in headless Chromium	yes	yes	yes	yes	ok	#71	gmake dev; gmake uat url=http://127.0.0.1:9000	yes	macOS Darwin 24.1.0, Node v26.2.0, @playwright/test 1.63.0, 	?	?	?	?	?	?	confirmed-by-note-only	note complete; reproduction not re-run by the extractor (rule 6 needs a run)
a841ffe	2026-09-14	mini	no	docs	1	docs(targets): two Cloudflare shapes for staging and production, priced	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
2d0a78c	2026-09-14	mini	no	docs	1	docs: hosting survey -- the most trivial staging and production for the estate	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
77a8a92	2026-09-14	mini	no	docs	1	docs(readme): app:* and itil:* are guidance, not permission	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
4948220	2026-09-14	mini	no	model	7	feat(model): an emergency closes the estate -- entry blocked, holder evicted	yes	yes	yes	no	not-required	-	./tla/check.sh ; python3 sim/label_sim.py --bound 40 --walks 0 ; python3 sim/label_sim.py --disable EmergencyPreempts --bound 40 --walks 0 ; LABEL_BOUND=40 python3 sim/cross_check.py	no	macOS Darwin 24.1.0, OpenJDK 21.0.4, Python 3.11.10	?	?	?	?	?	?	confirmed-by-note-only	note complete; reproduction not re-run by the extractor (rule 6 needs a run)
a9d5db5	2026-09-14	mini	no	docs	9	feat(idp): the contract as OpenAPI, an in-memory mock, and four interfaces	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
4f73b5b	2026-09-14	mini	no	change-script	3	fix(change): lock.sh exists; deploy-staging can write the refusal it computes	yes	yes	yes	yes	ok	#1,#89,#92,#94,#100,#101	./change/lock.sh acquire 92 staging; GITHUB_RUN_ID=test ./change/lock.sh acquire 94 staging ; ./change/lock.sh release ; gh run view 34897883064 --log | grep 'queue.sh claim'	yes	macOS Darwin 24.1.0; workflows on ubuntu-latest	?	?	?	?	?	?	confirmed-by-note-only	note complete; reproduction not re-run by the extractor (rule 6 needs a run)
896f3fc	2026-09-14	mini	no	chore	1	feat(promote): staging:smoke lands deploy:production	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	no-claim	chore with no issue and no note
c9aa934	2026-09-14	mini	no	chore	1	fix(promote): latest run per gate, and wait for one still running	no	na	na	no	not-required	#93	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
7473431	2026-09-14	hydra	no	change-script	1	fix(abort): clear deploy:production and change:complete too	no	na	na	yes	missing-note	#92	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
6641337	2026-09-14	hydra	no	model	2	sim/grind100: 100 PRs, two release policies, four degraded-infra cases	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
988a65e	2026-09-14	hydra	no	experiment	5	experiments/021: the PR as a state machine, through gating and evidence	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
1dedad9	2026-09-14	hydra	no	experiment	5	docs(021): model the PR deployment lifecycle as a state machine	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
eff29c2	2026-09-14	hydra	no	experiment	8	experiments(021): protection, precedence and overrides state machine	no	na	na	no	not-required	#1	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
1b7c8ed	2026-09-14	hydra	no	chore	0	experiments/021: record authorship of the environments/estate state machine	no	na	na	no	not-required	#92	-	na	-	?	?	?	?	?	?	unverifiable	survival na: no added line long enough to grep
05f0c6a	2026-09-14	hydra	no	model	2	sim/grind100: reliability -- 80% deploy success, 1% unhealthy production	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
7fdd063	2026-09-14	hydra	no	experiment	6	docs(021): the bar for a state machine, and nine confirmed artefact disagreements	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
7684702	2026-09-14	hydra	no	chore	0	experiments/021: record authorship of the end-to-end PR state machine	no	na	na	no	not-required	#92	-	na	-	?	?	?	?	?	?	unverifiable	survival na: no added line long enough to grep
29a9cc1	2026-09-14	hydra	no	change-script	1	fix(activate): three live D16 sites, including a guard that could not refuse	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
234a745	2026-09-14	hydra	no	spec	4	spec: the label grammar -- intent drives, everything else annotates	no	na	na	yes	missing-note	#92	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
e06ca88	2026-09-14	hydra	no	spec	1	spec: delete change:emergency, state itil:emergency once, no change:start	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
6458e1b	2026-09-14	hydra	no	spec	2	spec+D20: change:start is the human intent; the berth label is never written	no	na	na	yes	missing-note	#63,#64,#66,#67,#68,#69,#92	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
836256a	2026-09-14	hydra	no	experiment	2	experiments/021: expand the label vocabulary to 23 candidates, then pare	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
3af2060	2026-09-14	hydra	no	docs	1	docs: survey external label vocabularies for staging/production deployment	no	na	na	no	not-required	#34	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
a3781c5	2026-09-14	hydra	no	docs	1	docs: correct two counts in the label survey	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
c6acc82	2026-09-14	hydra	no	docs	2	ci: stop re-gating on labels, and add the dual-shape contract gate	no	na	na	no	not-required	#57,#69	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
9653d49	2026-09-14	hydra	no	docs	1	docs: withdraw two claims in the label survey, add four verified sections	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/3, superseded by 63a66b3
beae33a	2026-09-14	hydra	no	change-script	2	labels: add change:start and berth:stale, the two the paring kept	no	na	na	yes	missing-note	#92	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
5e3a491	2026-09-14	hydra	no	change-script	1	feat(uat): CHANGE_WINDOW_ADVISORY, and the calendar is enforced in two places	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
ca0861e	2026-09-14	hydra	no	spec	1	spec: the labels are print statements, and that is the whole problem	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=spec requires a note, none present
df94f37	2026-09-14	mini	no	change-script	12	feat(model): staging:hold as intent, <env>:deployed then <env>:healthy as the trigger; fourteen rules	yes	yes	yes	yes	ok	-	python3 tla/frames.py --check ; ./tla/check.sh ; python3 sim/label_sim.py --bound 12 --census ; LABEL_BOUND=12 python3 sim/cross_check.py	no	macOS Darwin 24.1.0, OpenJDK 21.0.4, Python 3.11.10, 16 GB	?	?	?	?	?	?	confirmed-by-note-only	note complete; reproduction not re-run by the extractor (rule 6 needs a run)
49a5550	2026-09-14	mini	no	change-script	10	feat(lock): deploy:staging is the lock; a refusal resets the change; complete then end	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
4752fa1	2026-09-14	mini	no	chore	1	fix(deploy-staging): write no verdict label; a refusal at preflight is not a failed measurement	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	no-claim	chore with no issue and no note
1226d9d	2026-09-14	mini	no	change-script	2	fix(abort): a failed release ends and cleans up like a settled one	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
4e67e27	2026-09-14	hydra	no	change-script	2	labels: declare the five that existed on the forge and nowhere else	no	na	na	yes	missing-note	#92	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
171cb87	2026-09-14	mini	no	apps	1	feat(pdp): a perkier pre-order line (#95)	no	na	na	no	not-required	#95	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
6a82124	2026-09-14	mini	no	change-script	1	fix(settle): the instruments' evidence is the record, not the label	no	na	na	yes	missing-note	#92	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
a5a2d64	2026-09-14	mini	no	change-script	1	fix(lock): in CI, release only the lock this run acquired	no	na	na	yes	missing-note	#95	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
cf9f6f7	2026-09-14	mini	no	apps	1	feat(core): a brighter sky-blue page background (#93)	no	na	na	no	not-required	#93	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/1, superseded by d03ea58
e1e82fc	2026-09-14	mini	no	apps	1	feat(plp): a brighter mint for the listing page (#96)	no	na	na	no	not-required	#96	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/1, superseded by 478c1be
c6b139e	2026-09-14	mini	no	apps	1	feat(core): a perkier account panel (#92)	no	na	na	no	not-required	#92	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/1, superseded by d03ea58
a8fd06f	2026-09-14	mini	no	experiment	2	experiments/022: five agents, one lock -- what the PR list could and could not tell	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
80e85dc	2026-09-14	mini	no	apps	1	feat(pdp): a sunnier product-page background (#94)	no	na	na	no	not-required	#94	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/1, superseded by 4ad9cad
ae88308	2026-09-14	mini	no	experiment	1	experiments/022: #94 landed -- five of five	no	na	na	no	not-required	#94	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
b96cb12	2026-09-14	hydra	no	docs	1	scenarios D21: three identities, one lock, and neither operator could tell	no	na	na	no	not-required	#92,#94,#96,#97,#99,#101	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
3fcd84d	2026-09-14	mini	no	change-script	3	feat(change): driver.sh and scheduler.sh -- a person says change:start, the process takes over	yes	yes	yes	yes	ok	#97,#101	./change/driver.sh 101 ; ./change/scheduler.sh --once	yes	macOS 24.1.0, gh 2.x as jwalsh, blocks :9010/:9020 serving 5	?	?	?	?	?	?	confirmed-by-note-only	note complete; reproduction not re-run by the extractor (rule 6 needs a run)
28680ef	2026-09-14	mini	no	chore	1	feat(mock): a brighter lavender page background (#101)	no	na	na	no	not-required	#101	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
11508f6	2026-09-14	mini	no	apps	1	feat(plp): a perkier no-results line (#99)	no	na	na	no	not-required	#99	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
503bbe9	2026-09-14	mini	no	apps	1	feat(checkout): a sparkle on the Continue button (#98)	no	na	na	no	not-required	#98	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
427f7c0	2026-09-14	mini	no	apps	1	feat(core): a warm butter highlight for inline code (#104)	no	na	na	no	not-required	#104	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
1dc0407	2026-09-14	mini	no	apps	1	feat(shared): a brighter green on the .b badge (#100)	no	na	na	no	not-required	#100	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
ec1bfbf	2026-09-14	mini	no	apps	1	feat(plp): a magnifying glass on the search prompt (#105)	no	na	na	no	not-required	#105	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
11eb352	2026-09-14	mini	no	apps	1	feat(checkout): a brighter pink for the checkout surface (#97)	no	na	na	no	not-required	#97	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/1, superseded by 2c4ac2a
afa0e25	2026-09-14	mini	no	gate	7	fix(change): what two owners could not read on their tickets (experiments/023)	no	na	na	yes	missing-note	#104	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=gate requires a note, none present
392794e	2026-09-14	mini	no	apps	1	feat(pdp): a perkier low-stock nudge (#106)	no	na	na	no	not-required	#106	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
b67ec32	2026-09-14	mini	no	apps	1	feat(pdp): a perkier in-stock line (#108)	no	na	na	no	not-required	#108	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
4ae446b	2026-09-14	mini	no	apps	1	feat(checkout): a brighter pink for the checkout page (#107)	no	na	na	no	not-required	#107	-	na	-	?	?	?	?	?	?	unverifiable	survival gone 0/1, superseded by 2c4ac2a
61b7007	2026-09-14	mini	no	change-script	6	experiments/023: five of five landed on change:start alone; what the owners could not read	no	na	na	yes	missing-note	-	-	na	-	?	?	?	?	?	?	unverifiable	protocol defect: kind=change-script requires a note, none present
73a9ab7	2026-09-14	hydra	no	model	2	tla: model the lock OWNER, and an invariant that could not fail	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
aa55d5e	2026-09-14	hydra	no	model	2	sim: the berth has an owner, and a foreign release is refused	no	na	na	no	not-required	-	-	na	-	?	?	?	?	?	?	confirmed	survival present 3/3
9b47cc8	2026-09-14	hydra	no	apps	1	feat(core): add an empty-cart panel to /cart (#52)	no	na	na	no	not-required	#52	-	na	-	?	?	?	?	?	?	confirmed	survival present 1/1
