# checks.tsv -- the maximal check set, declared. One row per check.
#
# THE POINT OF THIS FILE is the difference between three things a check can
# report when it does not say PASS, which CI conventionally collapses into one:
#
#   FAIL   the check ran and found something            exit 1
#   ABSENT the tool is not installed here               exit 4 -- "I could not
#          check". docs/exit-codes.org: 4 is not 1, and neither is 0.
#   N/A    the check ran, and this repo has no such     exit 0, vacuously
#          subject (no .tf files, so no terraform lint)
#   UNARMED tool present, subject present, and the       exit 4 -- the oracle
#          RULESET IS EMPTY. conftest with no .rego,     is missing, so the
#          a schema validator with no schemas. Runs,     zero means nothing
#          finds nothing, exits 0. Same shape again.
#
# ABSENT and N/A both produce "no findings". Treating them alike is the same
# defect as change/guard4.sh:142, where an empty check-run filter scores green:
# zero failures out of zero runs read as consent. The `applies` column is what
# separates them -- a glob that must match something for the check to be N/A
# rather than ABSENT.
#
# scope   root  one run for the repo | app  one run per apps/*/
# phase   static  no running estate | dynamic  needs one
# tier    push | ready | label | nightly      (cost tiers)
# gate    required | advisory
#         NOTE: `advisory` CONTRADICTS CLAUDE.md:70 ("Do not add a warning tier
#         to any gate. Zero findings or the gate failed."). Every advisory row
#         here is a proposal, not a ruling. See docs/maximal-checks.org.
#
# id	scope	phase	tier	gate	tool	applies	what
doc-examples	root	dynamic	ready	advisory	node	**/*.org	documentation examples executed
install-test	root	dynamic	ready	required	npm	package.json	build, install clean, smoke command
mutation	root	dynamic	label	advisory	stryker	**/*.js	mutation score on the diff
property-based	root	dynamic	ready	required	python3	gates/*.py	property-based tests -- hypothesis
fuzzing	root	dynamic	nightly	advisory	cargo	**/*.rs	fuzzing with a time budget
flake-detect	root	dynamic	ready	required	node	apps/*/tests	rerun changed tests N times, shuffle order
patch-coverage	root	dynamic	ready	required	node	apps/*/src/*.js	branch coverage on the diff
sanitizers	root	dynamic	nightly	advisory	cargo	**/*.rs	ASan, UBSan, TSan, race
leak-detect	root	dynamic	nightly	advisory	node	apps/*/src/*.js	heap, fd, thread growth in a loop
tz-locale-matrix	root	dynamic	ready	advisory	node	apps/*/tests	several TZ, DST, leap year, non-UTF8
cross-arch	root	dynamic	nightly	advisory	podman	**/*	arm64 and amd64
compat-rolling	root	dynamic	ready	required	node	apps/*/routes.json	new server vs previous client, and inverse
bench-micro	root	dynamic	label	advisory	node	apps/*/src/*.js	microbenchmarks with statistical comparison
load-k6	root	dynamic	label	advisory	k6	apps/*/routes.json	p95 latency and error rate against main
web-vitals	root	dynamic	label	advisory	lighthouse	apps/*/routes.json	Lighthouse budgets
image-size	root	dynamic	ready	advisory	podman	**/{Dockerfile*,Containerfile*}	container image size and RSS
query-analysis	root	dynamic	ready	required	node	db/migrate/**	N+1 detection, EXPLAIN plan regression
migrate-fwd-back	root	dynamic	ready	required	podman	db/migrate/**	apply forward and backward, measure locks
dast-zap	root	dynamic	label	required	zap	apps/*/routes.json	OWASP ZAP against the preview
authz-matrix	root	dynamic	ready	required	node	apps/*/routes.json	every endpoint by every role, plus anonymous
egress-denied	root	dynamic	ready	advisory	podman	package.json	build with network egress denied
image-scan	root	dynamic	ready	required	trivy	**/{Dockerfile*,Containerfile*}	image scan, non-root, read-only rootfs
security-headers	root	dynamic	ready	required	node	apps/*/routes.json	security headers and CSP on live responses
pii-logs	root	dynamic	ready	required	node	apps/*/src/*.js	PII detectors on test-run log output
preview-env	root	dynamic	ready	required	node	apps/*/routes.json	ephemeral environment per PR, smoke tested
visual-regression	root	dynamic	ready	required	playwright	apps/*/routes.json	screenshot diffs, component and page
a11y-runtime	root	dynamic	ready	required	playwright	apps/*/routes.json	axe-core, keyboard-only, RTL
traffic-replay	root	dynamic	nightly	advisory	node	apps/*/routes.json	replay recorded requests, diff responses
fault-injection	root	dynamic	label	required	podman	apps/*/src/*.js	latency, resets, partitions; assert timeouts
dependency-down	root	dynamic	ready	required	node	apps/*/src/*.js	each dependency unavailable in turn
otel-assertions	root	dynamic	ready	required	node	apps/*/src/*.js	required spans, metrics and log events emitted
log-schema	root	dynamic	ready	advisory	node	apps/*/src/*.js	log schema and volume budget
promtool-rules	root	static	push	required	promtool	**/*.rules.yml	alert rule unit tests
tf-plan-comment	root	dynamic	ready	required	terraform	**/*.tf	plan posted, block on destroy of stateful
k8s-dry-run	root	dynamic	ready	required	kubectl	**/*.{yml,yaml}	server-side dry run, kind deploy test
dbt-tests	root	dynamic	ready	required	dbt	**/*.sql	dbt build on state:modified
model-eval	root	dynamic	label	required	python3	**/*.pkl	evaluation regression, determinism, fairness
smoke-estate	root	dynamic	push	required	node	apps/*/routes.json	walk the estate as a browser would
health-converge	root	dynamic	push	required	node	apps/*/routes.json	guard 5 -- convergence, not liveness
