id	name	kind	terminal	description
prod_deploying	Production deploying	lifecycle	no	deploy-production in flight. An action, not a request.
prod_placed	Placed on the idle colour	observation	no	The build is resident on the idle production colour. Placing and cutting over are different acts with different risk (experiments/016-dora/notes.org, schema note 2).
prod_serving	Production serving	observation	no	The front is pointed at this build. This, not the merge and not the deployment record, is a deployment.
prod_healthy	Production healthy	observation	no	production:healthy. Convergence measured across the estate by gates/health.sh, naming the build.
prod_unconverged	Production unconverged	observation	no	The health check could not observe the estate, or observed it partially. HTTP 000 is unreachable, not unhealthy (spec.org:2723).
prod_withdrawn	Deployment record withdrawn	observation	no	A production deployment opened, posted success, placed nothing, and was retracted. #42 at 19:43Z; 44s to withdraw.
deployed_not_merged	Deployed, not merged	lifecycle	no	Production serves a build trunk does not contain. Boundary condition spec.org:2783; observed on #40 (D13).
deployed_not_merged_window_gone	Deployed, not merged, window gone	lifecycle	no	UNNAMED STATE. Three facts at once and nothing in the vocabulary says it. Reached twice, once by a script that reported the opposite (spec.org:2793).
rolling_back	Rolling back	lifecycle	no	The front is being returned to a prior build. Both of the night's rollbacks were front switches that left the bad build resident.
merged_unsettled	Merged, unsettled	lifecycle	no	merge-on-healthy.yml merged it and recorded nothing: no change:complete, no PIR, no window redline.
backfill_owed	Backfill owed	lifecycle	no	change:backfill-owed. The change reached main without the normal evidence and still owes it. Blocks nothing; survives settlement.
settling	Settling	lifecycle	no	settle.sh: change:complete, merge, PIR, window redline, then clear the working labels.
change_complete	Complete	lifecycle	yes	CHANGE closure code complete. The PIR is posted and the record survives the labels being cleared.
change_backed_out	Backed out	lifecycle	yes	CHANGE closure code backed_out. Production DID serve this change and was returned to a named prior state (change/label-owners.tsv:93).
change_failed	Failed	lifecycle	yes	CHANGE closure code failed. Production never served it, or never had it made live. Nothing to undo (change/label-owners.tsv:92).
change_abandoned	Abandoned	lifecycle	yes	CHANGE closure code abandoned. The PR was closed unmerged and nobody is driving it. [H] -- no in-tree writer; scenarios.org:193 names the condition, abort.sh does not spell this code.
change_superseded	Superseded	lifecycle	yes	CHANGE closure code superseded. Another change delivered this one's content first. [H] -- named in the brief, not implemented in-tree.
estate_normal	Estate normal	estate	no	ESTATE-GLOBAL, not a state of any PR. Ordinary change is permitted. Start state of the ESTATE chain.
estate_frozen	Estate frozen	estate	no	ESTATE-GLOBAL. freeze on issue #1: ordinary change is suspended for everyone including its declarer (change/label-owners.tsv:53).
estate_emergency	Estate emergency	estate	no	ESTATE-GLOBAL. emergency on issue #1: something is wrong out there, everything stops, and it grants NO exemption to whatever PR carries it (change/label-owners.tsv:54).
