id	name	kind	terminal	description
PR_PRODUCTION	deploying to production	lifecycle	no	deploy:production. Action in flight, serialized by concurrency: production with cancel-in-progress false.
PR_HEALTHY	production converged	observation	no	production:healthy. Guard 5 sampled the estate and every sample reported the expected build. No bypass exists for this state.
PR_UNHEALTHY	production did not converge	observation	no	Guard 5 refused. Rollback runs, the PIR is posted, the lock releases. itil:emergency buys nothing here.
PR_STALE_EVIDENCE	evidence about a build that is no longer the head	observation	no	The head moved, or main moved under a pass (guard 4b), or a push withdrew the observations. The measurements did not go stale: they stayed true about the build they name and stopped matching.
EST_BERTH_REFUSED	refused: someone else holds the berth	estate	no	ESTATE-GLOBAL CAUSE. Guard 1 / preflight exit 5. One path to production, one change at a time. Recovery is wait, then rebase; the queue has no ordering, so waiting is unfair as well as slow.
EST_LOCK_REFUSED	refused: deployment lock held	estate	no	ESTATE-GLOBAL CAUSE. blocked:lock. itil:emergency does NOT bypass this half of guard 3 -- the lock says something is physically deploying right now, which precedence cannot argue with.
EST_FREEZE_REFUSED	refused: estate frozen	estate	no	ESTATE-GLOBAL CAUSE. freeze on the estate holder (issue #1) or a stray open PR, or a scheduled FREEZE window. preflight exit 3. Blocks everyone including whoever declared it.
EST_FREEZE_UNATTRIBUTED	refused: frozen by nobody identifiable	estate	no	THE STATE WITH NO NAME. The estate is shut, the record carries no actor and no reason, and the write is posted under the repo's own token. An authorised halt and a hostile one produce byte-identical records, so the recovery -- go ask the declarer -- has no addressee.
EST_EMERGENCY_REFUSED	refused: an emergency is in flight on the estate	estate	no	ESTATE-GLOBAL CAUSE. The bare emergency label on the estate holder. preflight exit 2. Not a class and not a precedence claim: a property of the world. Production is moving outside the normal path, so a staging pass describes a world that no longer exists.
EST_OTHERS_ITIL_EMERGENCY	refused: someone else's emergency	estate	no	THE STATE WITH NO NAME. Another open PR carries itil:emergency -- a precedence claim about THAT change -- and it stops yours. Note the divergence: preflight's own prose says this is what it reads; its code reads the bare emergency label instead.
EST_SELF_BLOCKED_BY_OWN_FLAG	refused: by the estate flag this PR is carrying	estate	no	THE STATE WITH NO NAME. Someone hung the bare emergency label on this PR to make the estate show an emergency handled outside the pipeline. There is deliberately NO self-exclusion, so the PR carrying the flag is blocked by it. Correct, and unnamed.
EST_INDETERMINATE	could not read the estate	estate	no	THE THIRD VALUE. The calendar, the forge, the reviews endpoint, the berth query or the estate flags did not answer. preflight exit 4, which BLOCKS. Never collapses to 'no freeze' and never to 'frozen'; it is its own edge with its own recovery, which is to ask again.
EMG_DECLARED	itil:emergency declared	intent	no	A person has declared THIS change the remedy. A precedence claim, not a readiness claim: 'if I am ready, I win over anything else'. Never inferred, never derived.
EMG_QUEUE_ESCALATED	routed to emergency by queue pressure	composite	no	THE ESCALATION FAILURE MODE. The berth wait exceeded patience, so the rational move is the label that skips staging. A bypass that is always available becomes the default path with extra steps; at a few hundred PRs through one berth the share tends to ~100%.
EMG_BYPASS_ACTIVE	carrying the bypass	composite	no	Guard 0 waived, guard 3's FREEZE half waived, guard 4 waived subject to an approving review, guard 4b waived. Guard 1 is not bypassed so much as never reached: the emergency path does not take the berth. Guard 2 and guard 5 are not waived at all.
EMG_BYPASS_UNNEEDED	holding a bypass it no longer needs	composite	no	THE STATE WITH NO NAME. The freeze lifted, or the incident closed, and itil:emergency is still on the PR. Nothing withdraws it: the labeller does not own it and no gate may remove a person's declaration. Meanwhile it goes on outranking every other change and, per preflight's stated rule, blocking them.
EMG_AWAITING_APPROVAL	bypass held, approval outstanding	composite	no	The one condition attached to the guard 4 bypass: an approving review. The narrowest real check on the emergency path, and it is the check a single-identity estate cannot satisfy -- self-approval is refused by the forge.
EMG_REFUSED_NO_APPROVAL	refused: emergency without an approving review	composite	no	deploy-production refuses. The bypass is conditional, and this is the condition failing. Recovery is a change authority approving, never the pipeline deciding the emergency was genuine.
EMG_GATE2_REFUSED	refused: gates red, and there is no bypass	composite	no	Guard 2 evaluated a second time on the production path precisely so the emergency route cannot skip it. An emergency may skip the staging ENVIRONMENT; it may not ship a tree whose lint and tests are red.
EMG_GUARD5_REFUSED	refused: production unhealthy, and there is no bypass	composite	no	Guard 5 on the emergency path. Bypassing it would make 'deployed' a claim rather than an observation, which is the property that keeps every other bypass honest.
X_DEPLOYED_UNMERGED_WINDOW_GONE	deployed, not merged, and the window is gone	composite	no	THE STATE WITH NO NAME, named as such in the spec. Three facts at once and no vocabulary for the conjunction. Production serves a build trunk does not contain, the reservation that authorized it has closed, and the next change branches from a trunk that reverts it.
T_COMPLETE	complete	lifecycle	yes	change:complete. Terminal for validation and the record; never cleared. After cleanup the forge's MERGED is the record.
T_COMPLETE_UNPAID	complete, record owed	lifecycle	yes	change:complete plus change:backfill-owed. An emergency landed first and is documented after. The debt blocks nothing, survives settlement deliberately, and only a person may clear it -- automation must not clear a debt it did not pay.
T_FAILED	failed	lifecycle	yes	change:failed. Production never served this change, or never had it made live. Nothing to undo.
T_BACKED_OUT	backed out	lifecycle	yes	change:backed-out. Production DID serve this and was returned to a prior state. The word asserts an estate action, so it must name what it returned to.
T_ABANDONED	abandoned / closed	lifecycle	yes	Closed without merging. Not a closure code in the vocabulary, which is why an abandoned PR still holding deploy:staging wedges the berth for everyone until the reaper clears it.
